,Country Code,Country Name,Region,Income Group,Año,Poblacion,Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Alternative and nuclear energy (% of total energy use),Combustible renewables and waste (% of total energy),Electric power consumption (kWh per capita),Electric power transmission and distribution losses (% of output),Electricity production from coal sources (% of total),Electricity production from hydroelectric sources (% of total),Electricity production from natural gas sources (% of total),Electricity production from nuclear sources (% of total),Electricity production from oil sources (% of total),"Electricity production from oil, gas and coal sources (% of total)","Electricity production from renewable sources, excluding hydroelectric (% of total)","Electricity production from renewable sources, excluding hydroelectric (kWh)",Energy use (kg of oil equivalent per capita),"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",Fossil fuel energy consumption (% of total),Renewable electricity output (% of total electricity output)
0,ABW,Aruba,Latin America & Caribbean,High income,1960,54211.0,,,,,,,,,,,,,,,,,,,
1,ABW,Aruba,Latin America & Caribbean,High income,1961,55438.0,,,,,,,,,,,,,,,,,,,
2,ABW,Aruba,Latin America & Caribbean,High income,1962,56225.0,,,,,,,,,,,,,,,,,,,
3,ABW,Aruba,Latin America & Caribbean,High income,1963,56695.0,,,,,,,,,,,,,,,,,,,
4,ABW,Aruba,Latin America & Caribbean,High income,1964,57032.0,,,,,,,,,,,,,,,,,,,
5,ABW,Aruba,Latin America & Caribbean,High income,1965,57360.0,,,,,,,,,,,,,,,,,,,
6,ABW,Aruba,Latin America & Caribbean,High income,1966,57715.0,,,,,,,,,,,,,,,,,,,
7,ABW,Aruba,Latin America & Caribbean,High income,1967,58055.0,,,,,,,,,,,,,,,,,,,
8,ABW,Aruba,Latin America & Caribbean,High income,1968,58386.0,,,,,,,,,,,,,,,,,,,
9,ABW,Aruba,Latin America & Caribbean,High income,1969,58726.0,,,,,,,,,,,,,,,,,,,
10,ABW,Aruba,Latin America & Caribbean,High income,1970,59063.0,,,,,,,,,,,,,,,,,,,
11,ABW,Aruba,Latin America & Caribbean,High income,1971,59440.0,,,,,,,,,,,,,,,,,,,
12,ABW,Aruba,Latin America & Caribbean,High income,1972,59840.0,,,,,,,,,,,,,,,,,,,
13,ABW,Aruba,Latin America & Caribbean,High income,1973,60243.0,,,,,,,,,,,,,,,,,,,
14,ABW,Aruba,Latin America & Caribbean,High income,1974,60528.0,,,,,,,,,,,,,,,,,,,
15,ABW,Aruba,Latin America & Caribbean,High income,1975,60657.0,,,,,,,,,,,,,,,,,,,
16,ABW,Aruba,Latin America & Caribbean,High income,1976,60586.0,,,,,,,,,,,,,,,,,,,
17,ABW,Aruba,Latin America & Caribbean,High income,1977,60366.0,,,,,,,,,,,,,,,,,,,
18,ABW,Aruba,Latin America & Caribbean,High income,1978,60103.0,,,,,,,,,,,,,,,,,,,
19,ABW,Aruba,Latin America & Caribbean,High income,1979,59980.0,,,,,,,,,,,,,,,,,,,
20,ABW,Aruba,Latin America & Caribbean,High income,1980,60096.0,,,,,,,,,,,,,,,,,,,
